id,tweet,target
45,is in the news a lot for treating  and other conditions  but what is it Contact us to learn more  ,0
46, FairtradeUKNews  adamawine Wishing you a joyful day with great food  wine and company  ,0
47,Heard a person detailing his branded cloths arrogantly today. It sounded more like him wearing  instead of cloths. ,0
48,It s a  blessing to love it s a blessing to have someone to love,0
49,Good nite.                                         ,0
50,It is the first purpose of  to make  bearable. Robert Brault,0
51, whounfollowedme   I m  very  glad to see You in my community  ,0
52,Gene Simmons  Ph.D. offers mental wellbeing to  souls. ,0
53, J UGO   TopPlanet Vestiti Black and White  stile blues Brothers,0
54,I ve come to the realization that my phone isn t going to make it through the day. ,1
55,Michael has been in bed all day barely functional from car  bad cold I have one  Katman    ,0
56,Absolutly shocking service from  bookingcom especially when owed   Expected better from a comp Ive dealt with four yrs  unhappy  badservice,1
57, Orin Atlantis  I am much more cheerful when you are around ,0
58,One of my best friends got engaged   ,0
59,today I died to a mech in fortnite I m  and   going to blAcK ouT my profile picture smh my head,0
60,I forgive everyone. It s rare for me to hold a grudge.,0
61,two more weeks   painfree,0
62,The  in the NPP is deeply rooted because of Nana Addo s divide and rule style of slave  mastership ,0
63,Me too .without hesitation.,0
64,I m so ready to take off my sneakers. They hurting me,1
65,People bring you down. Love fails from time to time. You get lost  then can t find your way.   ,0
66,     2016 officially the worst year in history    ,0
67,This journey to become a YouTuber isn t easy for me. I walk with a purpose to fix me. To record it  edit it  then post it for all to see ain t easy. I do it for the one person that needed the message not the haters.  ,1
68,Good nite.                                         ,0
69,I just don t want to participate anymore.,1
70,Quote of the day comes from Queen Cersei herself  IAMLenaHeadey  Power hungry people are fearful  otherwise why wouldn t you just chill,0
71, mandzvester     nThats why I work on my own  to many miserable fok around   nAfternoon Smiley ,0
72,John nLet not your heart be troubled  neither let it be afraid.  peace  afraid,0
73,It s now raining and I can hear thunder growl somewhere. Good day to read some more.,0
74,Gonna find my baby gonna hold her tight gonna grab me some afternoon delight,0
75, johntassparker Well  at the time  I think there was that concern. Now it is all bright and shiny with a price tag to match.,0
76,Something nobody will read  ,0
77,The incredible Dr. David Feifel and I. Wouldn t be alive if it wasn t for this man  Such an amazing person  ,1
78, to combat  make your bed in the AM so you re less inclined to get back in it and stay there all day.,0
79, KatRamsland  call to action by TV host John Oliver  who urged viewers to leave comments expressing their displeasure at the FCC s policies.,0
80, Anxiety is like a tornado  the most violent  horrific  and destructive atmospheric phenomenon   ,0
81, SatisfyingTaste  TheAnimalVines I used to make the peanut butter energy balls all the time. My famjam loved them   recipes  yummy,0
82,Im glad to hear that  Kara. Dont hesitate to get in touch again if you need to  Cheryl,0
83,Anohni s  is the underrated album of the year.,0
84,This Wednesday  ChandlerBMusic  kickstarter begins  Y all be READY   ChandlerBayMusic  ChandlerBayEP  tantrum,0
85,Honestly cant trust anyone at this point.,1
86, how can I understand that shit? why is that so fast? ,1
87, DOBrienAJC What did you do to rile up all the Roberts?,0
88, huedrinkwater happy birthday cuzy,0
89,Don t ever frown upon someone chasing a dream. Remember you were once chasing one too. HUMILITY   ,0
90,No mater how many times you lose in a game  it will always tell you  try again  . When things go sideways  sit back and enjoy a favorite game.   ,0
91,We are open all through this  for info  advice or even a chat,0
92,I am not even a nobody to anyone,1
93,So close to  just wondering why in feeling so    tis the season to be Jolly ,0
94, emaalymaae Looks beautiful   ,0
95,Why are people on twitter so depressing .,0
96,So excited for tonight  I actually feel a bit sick  
,0
97,Oh sorry I m on your bestfriends list?   ,0
98, JustinOEarlwood  awesome news for the blues,0
99,Can I just stay in bed and do nothing? I m not feeling life today .,1
100,Johnny Cash going on day three sleeping in my bed. I must be severely depressed cus he can sense it.  ,0
101,No matter how much you tell yourself that you ve accepted relegation it takes a day like today to prove that you haven t,0
102,you are significant ?,0
103,seeing sope perform otsukare always makes me happy no matter how much of a bad day I have,0
104,Bertolacci will join Genoa on a dry loan with no option to buy  done deal  Sky At last he s gone  rejoice,0
105,Then come Jan 1 . Like u can just stop depression kmt  pic.twitter.com ejRYNYHN6s,0
106,Yet another sleepless night. I record  comfort  stuff. Will be watching the *Hairy Bikers* and *A Place in the Sun* until the wee  small hours. With my little dog ?  ,1
107,Wooo so happy right now  Just bought my tickets to see  NiallOfficial next summer in Dublin.Can t wait  Å  niallhoran  Dublin  music ,0
108,Find the lost and the lonely. They need you.    pic.twitter.com BtM7BpcUGQ,0
109,promoting taeny while tiff is here yes  ,0
110, magicpencil I d just whip up a cake batter or cookies &amp  throw it in    bakewell  frangipani is made with almonds,0
111, MaxineWaters Love you   relentless Thank you for being a voice for our country ,0
112,Look at this little guy  He is connecting to his magical self.   nWhat do you do to keep life magical? à  AnewPerspective  magical   be,0
113,Its 2 37 & I event left nor have I ate ,0
114,Chad and Sarah is honestly me and my ex 10 years ago     CBB  horrifying,0
115,NEW MUSIC FRIDAY  FIRST SINGLE OFF THE NEXT PROJECT.  untitled  mattrod  hiphop  boston  hartford  animosity  thesemycities,0
116,Can t stop listening to the  album  so beautiful  pic.twitter.com NoKZ0e1Hlp,0
117,That moment when you get blindsided by something you wasn t expecting & now in a state of total disappointment & heartache ,1
118,when can I really respect and love myself more than anybody else?,1
119,I just asked this customer about her cable box and she went left field and was telling me all the issues in her life ????,0
120,Damn so much snow why did I even look outside  ??? ,0
121,Love to find pics of me   not my pic  Because love hurts ??? ???     ??  ,0
122,If I DM you   Will you reply me .?   ,0
123,My love for black people does not mean I resent white people.,0
124,Crying once again I have something repeating in my head over and over I m crying ,1
125,Happy happy birthday to the girl who never fails to brighten up everyone s day  Thank you for everything  I ll always be here for you.  ó,0
126,Someone quoted and hash tagged one of my tweets once with ,0
127,You are MINE  my baby  my headache  my love  my smile  my frown  my wrong  my right  my pain  my happiness  my everything.,0
128,Nearly 12 o clock and we are here listening to music and my girlie is making me howl with her dancing  oldtunes  daughter  laughs  memories,0
129,On our way to  Gamescom17 What can we expect and who will we meet?  excitement,0
130,Done absolute fuck all the last 2days ,1
131,People with depression are 4x more likely to have a heart attack ,0
132,OMG  The commanding staff soon sensing the  of the situation of the country estimated at 70 billion,0
133,My mom s Puerto Rican. That s why i m so lively and colorful.,0
134,it sucks when you fall hard for someone  and then they just leave you like it was nothing. ,1
135,I accidentally Fucked up my hair  ??????,0
136,My soon to be ex wife needs to learn to chill out &amp  smile ,0
137,New Years Eve The day I always dread.???? ,0
138,This time last year I was on a plane to New York .,0
139, jaimitoelcrack7 Seriously .I ve been sitting here for five minutes watching this in awe. It never gets less amazing.,0
140,As we think abt  across t generations at this time  a turkey sandwich & mince pie  in t company of strangers is seldom effective,0
141,This is the day that the lord has made I will rejoice and BE GLAD IN IT   ô è ü  blessed  favored  loved  ,0
142,Getting on the jd and coke   ,0
143,Sometimes love is so painful it eats you up until your nothing   ,1
144,And I can t do anything about it ????   pic.twitter.com xviBD0HpaE,1
145,Take  photographs of life and write them in  journals  motivation  inspiration  life   love  inspire  smile  quotestoliveby,0
146,Go harder when everyone else has had enough.  relentless  Cleaner,0
147,Riding the metro into   the feeling of  is palpable this morning.,1
148,Just want to stay in bed all day . ,1
149, aw this Steve story is heartbreaking.  is THE Worst feeling in the world. Well done  great job on storyline ???  ∞,0
150,Morning  Good vibes today people   It s July 11  2017 at 09 00AM  goodmorning  twitter  happy,0
151,When you feel like shit and have no one to vent too   ,1
152, I used to think that the worst thing in life was to end up alone. It s not. The worst thing in life is to end up with people who make you feel alone .   ,0
153,Then daddy wanna call talking bout wake up and shake that ass  ,0
154, aacobe so you no its bibby time  lol,0
155,Harden not your heart  as in the provocation  and as in the day of temptation in the wilderness    Psalm 95 8 KJV,0
156,Starting to feel really anxious and sad and empty. ,1
157,I m trying not to be  enough to start posting song lyrics. Can I just sleep until 2017,0
158,My morning protein shake. Delicious way to assure I start my day the right way with 21 gms of whey protein.  protein  shake  morning,0
159,And now that Im having the other way around  i feel so upset and sad,1
160,Well played radio station. Playing the song  Total Eclipse of the Heart  at the start of the eclipse   Eclipse  brilliant,0
161,The team looked so uninspired after 20 30 mins day. You d think the HT team talk would have helped. Guess again.  ,0
162,Imagine having a figure like  ffs I d never wear clothes  shes just bloody perfect   wish I hadn t seen these photos    pic.twitter.com EKeUu6aXvY,0
163, Arquipimp      nU mean overprice English clubs nReal Madrid see bayern as no threat then look  ,0
164, LisaCim  AcaciaEvans This is the best picture I have ever seen   beautiful  happy,0
165,When you re saving loads of money not drinking so you start buying ALL THE THINGS  sobergirlproblems   sobriety,0
166,The  is no joke as I have suffered from   myself at this time of year I implore you to look after yourself & loved ones,0
167,Why it s simple to just stop texting,1
168,Have to work everyday for the rest of the year ,1
169,I ve been in a funk all day  just feeling a little down  ,1
170,Psalm 2 12 Kiss the Son  lest He be angry  And you perish in the way  When His wrath is kindled but a little.,0
171,It s weird that I get 300x more depressed over Christmas break every year.  ,1
172, CutTimeComic They are adorable     I need them all  ≠,0
173,Real happiness comes from the person who you truly love the most   ç  071117,0
174,Before you label yourself as  or low  make sure you re not simply in fact surrounded by . pic.twitter.com QrpK8Kn9pR,0
175,I am the writer of my own disasters,0
176,Wish I was watching a meaningful game. ,0
177,Anyway  I walk around the house  and I try not to look at things  try not to think of her. But that s all I can do. All I do is feel this deep pain  this deep longing. I see her again. I remember when I was in Germany  and she left. ,1
178, mrsebastian696  Twitter HAPPY BIRTHDAY    D,0
179,I m gonna see you one last time,1
180,Going through  are like going through .,1
181,Ot6 still exist  julid  deletesoon ,0
182,i do love shack shake,0
183,Listening to  danauerbach and watching the  eclipse at the dog park  bliss,0
184,Well  goodbye gents  my life is over .  ,1
185,So sick of having the same new year resolution  To get hitch  get love and be happy maybe  will be just staying alive ,1
186,Life s turned out totally different than you thought You re lost & alone Desperately Need Help JesusChristHeals&SavesASK,0
187,With ageing populations at risk of  and   and depression s myriad health effects so higher healthcare costs   as well as rising childcare costs  approaches like intergenerational care seem beautifully cost efficient and solve 1 problem with another problem. pic.twitter.com QouBTSRhR6,0
188,When your scares get re opened an its like pooring salt in them. I hate this feeling. All the pain im in again ,1
189,Damn I m the only one who didn t get JB tickets,0
190,Going to have to say goodbye to our beloved pup in the upcoming weeks. ,1
191,Here it is  1 20am  and I m wide awake. I thought  was supposed to know my ass out Instead my mind is racing.  ,1
192, BugsySeigal been reading your Twitter this lunchtime . you re very angry aren t you   ,0
193,One of the common misunderstandings about depression is that it s similar to feeling sad or down. Sometimes a people with hopelessness feels depression or vice versa.     pic.twitter.com iS5JSTQKPP,0
194,I m an Indians fan so  I hate Joe Buck. Im glad he looks old af now.    bitter  AllStarGame,0
195,Still can t fit any of my jeans. ,0
196,Less than 7 weeks to go ,0
197,Only the insecure withhold praise of another s achievements     ,0
198,That moment when your depression kicks in even more ,1
199,All I want is get my sister  ashleyclaw &amp   chrisdelia in a room and listen to both of them laugh  Hollywoodimprov  laughteristhebestmeds   ,0
200,She would have some understanding. But noone  noone is there. People have their own lives and their own busy schedules. I have nothing but time. Time to think about what I used to have and what I no longer do have. I think  if I could only be with her again. ,1
201,All my photos from July disappeared. I could cry. Santa what have you done   ,0
202,Hey  TheTimMcGraw  imwearingyourshirt today    humbleandkind   awesomeness  timmcgraw  wqmx  949WQMX  KeepinItCntry  JulieMN13,0
203, LondonEconomic Sometimes our judiciary just leaves you breathless and speechless.,0
204,A boo would be nice but nobody loves me ,1
205,Happy right now I just beaten the second game of crash bandicoot one more to go now didn t get that mad  ° at the game lol  ,0
206,It used to be talking about nothing for hours  now it s just not talking. Really  what happened,1
207, PrisonPlanet  DonaldJTrumpJr I read they pissed in Trump s bed   ,0
208,118 .  pic.twitter.com ZeQ2QHgY0U,0
209,It s only 3 o clock in the afternoon and it s dark and raining  Like mad  I hate this so much ,0
210,I just want to watch One Punch Man and not get out of bed.,1
211, ThePURCompany I have tried  PUR Mojito Lime mints They are  delicious   Happy  NationalMojitoDay to all  contest  win  ,0
212,I m now  I will be blacking out my pfp and deactivating. Expect to see me back in 2 minutes tho cuz I m a clout chaser.,0
213,Whatever you want to do  if you want to be  great at it  you have to  love it and be able to make sacrifices for it.  Quotes for you,0
214, TommySandhu  bbcasiannetwork tommy you r phenomenal smashed  ajjdin on the mixes  hilarious and  awesome   ,0
215, Monarch Really I ve had to hang up  ,0
216,Can we stop complaining about  until we recognize that we have institutionalized self sufficiency and pathologized human interaction?  pic.twitter.com sCFjoC5yOw,0
217,Gm and have a   Tuesday ,0
218,114.www2pic.twitter.com 8JfdnOID7w,0
219,I m shaking in my boots now. The Taffia are in full flow   ,0
220, AvrilLavigne Mom A. i saw ur insta  why? ur picture black in white  but  it s nice ur smile    winner ,0
221,I can tell by the end of the night I m gonna cut my arm  ,1
222,Drunk and singing along to bmth  asking alexandria and of mice and men  rip my parents eardrums  ,0
223,Been spoilt even got a Kylie lip kit   ,0
224,A  pessimist sees the difficulty in every  opportunity  an  optimist sees the opportunity in every difficulty.   Winston Churchill  quote,0
225, mood can be caused by infectious diseases  nutritional deficiencies  neurological conditions  and physiological problems.,0
226,Michelle Obama s Feelings of  are a Bellweather for the country  It Tells us We are Moving in the Right Direction   ,0
227,no offense to those who love k culture  u can love it all you want bbs     but i just personally want to get to know my own country s ,0
228,and now I got tickets to Hamlet  yay  happy  londontheatre,0
229,I want this to be a good day but this monster keeps pushing me down ,1
230,hello,0
231,Watching other NFL teams today emphasizes how pitiful the Eagles are,0
232,I haven t snuggled my little Uigi in SIX days,0
233,wtf bro 0 stars in my first attack in war fuck this shit man,0
234,Forgot my cheese cake at work ,1
235,I can now see all of your tweets on one timeline. Makes life a lot easier. Just say hello and I will add you   ,0
236,ha  ô  ha  ô  i just realised that i ve never actually been to therapy and i still don t know if i m depressed or just sad all the time,1
238,i feel like i m a prisoner of my own life  like as if my life was a jail and i m doing a lifetime sentence ,1
239,Bus model and industry make huge diff to value   Soft cos cost structure scales diff than Hard co. Need to know when raising  vc  start,0
240,when Martin stole Sonja s pizza on the MG show ep 4????????,0
241, seriously increases the risk both of developing and also dying from heart disease,0
242,I m so proud of myself for having a productive morning  ,0
243,Why we loose hope in ourself When people demotivate us .,0
244,Whatever it takes to keep fucking  and bastard  at bay.  Wishing you a bloody happy New Year   pic.twitter.com 3qWP4Lt25E,0
245,Accept that you are  and it s not your fault. Telling yourself to ??Pull yourself together  or ??Snap out of it  won t help.,0
246,brains have some of the most tiring dreams. Maybe because they re some of the most vivid?,0
247,What can you say about  rogerfederer  awestruck .,0
248,It s  AmazonPrimeDay  And I m  broke. So in reality it just another day for me  depressing,1
249,Being lost in my own mind   ,1
250,Is it even trail mix if pretzels are just left ??? ???  ,0
251,Ke na le problem le  guys . there are way too many of us in the world to have some people find themselves lonely and alone.,1
252, mrosenbaum711 Happy Birthday   à   Å Have an awesome filled day of awesomeness.,0
253,If there s one thing I hate  its being ignored. And everybody seems to be doing just that. Ugh.   ,1
254,It s funny at night I hate sleeping but sleeping helps I just feel so dead now is there an explanation to this feeling?,1
255,Love that character     pic.twitter.com uRCSKr2or8,0
256,i d kill myself if it was that easy,1
257,Loneliness isn t about being alone it s not being anybody s priority  is a problem that faces us all reach out and make contact??     π??  ,0
258, Mike J Lord You re welcome   ,0
259,LOVE ordering expensive gifts and receiving something NOT AT ALL like the discription or the color presented     ,0
260,  ?I Don t Love You Anymore   ANOHNI   ,0
261,My best friend died 10 years ago on this day in a car crash. Y after 10 years is it still killing me. Literally torn up Need HELP ,1
262,who needs an alarm clock when u have an excited puppy jumping on you every morning,0
263,RT KatelynTiffner   because I had a dream ralligatorrr & I were on springbreak in cancun  woke up and realized I was still in O .,0
264,being all sweet and nice to a guy then realizing how he never really deserved any of it ??    ??  Ω story of my life ,1
265, by   Bleak melodies & beats  beautiful voice and gloomy verses about today s world. Brilliant  One of the best in 2016.,0
266,I m kinda glad that I know about 2 to 4 people in all my classes that I can talk to  relieved,0
267, SpnTentation Thank you  My first solo run    excited  andnervous,0
268,happy birthday to anne   we wish her all the best and hope she s having a wonderful day,0
269,I m so upset  ≠,1
270,Just found out I am only 4 days younger than Shane Meadows   thank god I ve achieved as much as he has   ,0
271,jfc ANOTHER bad morning  I dont even have anything to be depressed about  oh hang on   leaving me to fester under the poverty line for 10 years,1
272,Finally the fuck shit was sending fast ,0
273,Dropping son off this morning then shopping with my girls for shoes wedding fun this afternoon.  Your TL won t explode today.    ,0
274,So happy I get paid tomorrow so I can sort my bloody hair out before holiday ,0
275,Can t believe I ve had 9 days off already and that I m back to work tomorrow  ,0
276,?? it will be ok ??    pic.twitter.com di7n1sDxAS,0
277,Happy  NationalFrenchFryDay   Although I m not so in the fried thing but I like have a frie once in a while  Have a  beautiful  thursday   ù ,0
278,41 year old woman wth chronic pain   and   I ve noticed that I m not breaking down crying everyday  my mood seems to be more positive and the intense  intrusive thoughts aren t as strong. It s only been 6 micro doses but I feel like I m seeing some improvement.   pic.twitter.com CFTdb6q2ka,1
279,A year ago we was 38 000ft up in the air  en route to Australia via Dubai .  pic.twitter.com FAFcKWtNJ3,0
280, Karma cutie aw  you make me smile  too.   ,0
281,   worst day  13 July  occasion   final   min    i couldn t eat my food for days the sleep was gone.  ,0
282,Adam Sandler is actually super hilarious &amp  all his movies are funny &amp  heartwarming,0
283,Hello twitter  My next few tweets are going to be a bit gushy  Look away if you re feeling bilious   ,0
284,Nooooo  will crack the 10 point mark in the 4th quarter ,0
285,Living downtown for the first time while  tiff is happening. Schedule is out today   excitement  thechildrenact  StanleyTucci  EmmaThompson,0
286,I hate it I hate it I hate it I hate it I HATE IT LIFE I HATE   ,1
287,If you are living with     don t fall for the so called  cure  peddlers here on Twitter. Seek professional medical help.,0
288,  The moment you realize that they re still making country music.,0
289,People are truly  amazing.  inspiring day,0
290,  this year was fuckd up I can t wait for it to be over I hated this year still depressed hard time getting over it  ???  ??????   fuck,1
291,Your inner bitch will do all she can to convince you that everything is hopeless and you are beyond . She loves you being  cos she has a captive audience to listen to her negativity. Don t fall for her BS  Nothing is ever as hopeless as she makes out.  pic.twitter.com dBXeDgF3eR,0
292,   I do not know anymore who I am in life because of my parents . I don t know if I still own my life the fact I feel shallow. Why does life always seem to be unfair   to the point u feel nothing.,1
293,You know you chose a good husband when he prepares lunch for you early in the morning     tears,0
294,When bad dreams come true  got me feeling like Crapulet ,1
295,Suffering from serious depression ????  Sucks my plans  times everything ????   ,1
296,Snorkel time  fury key west,0
297,Quite glad for a spot of rain  and happy it held off until    lunch  so daughter no1 could enjoy circus antics at school this am.,0
298,Hey what s up family I m having depression for dinner,0
299,Why can t I go Super Saiyan? ,0
300,Wishing you a blessed and happy morning. Glad to be here. Do you î and brighten someone s day in your pursuit of happiness.,0
501,Certain medications are known to cause  mood in a significant number of patients.,0
502, billjoehughes Sounds delightful ,0
503,Today I ate 1 month old rancid meat because I forgot what month it was.   ,1
504,I m an Indians fan so  I hate Joe Buck. Im glad he looks old af now.    bitter  AllStarGame,0
505,Nearly 1 in 2 men feel  over the  period,0
506,My Anxiety Disorder  PTSD  Depression   are real and today I am battling. My happiness is fading and my brain is messing with me so badly  I ve been trying hard not to cry  trying hard just to stay positive but I am struggling.,1
507,My man has been working out of town for a year already & I still cry every time he has to leave    ,0
508, A man s spirit will endure sickness  but a crushed spirit who can bear?   Proverbs 18 14  ESV   ,0
509, need to understand that  is NOT a phase it is the .,0
510,I feel like he lost interest in me he doesn t text me back crying sucks when he saw your story on snapchat ,1
511,living the moment  losing focus,0
512,I ve just ate 5 bags of sweets. WHAT IS LIFE,1
513,Fear not  lisajnc1951  God is with you  don t be discouraged  for He is your God  He strengthens and helps you at all time. Is 41 10,0
514,  lanimoreno and I had Chem  Anatomy  and now IB Sports together      amazing,0
515,Two options remain   1. Sell this phone 2. Sell myself. ,0
516,Same old story  same old song and dance. ,0
517, Me Before You  has me crying my eyes out right now ,0
518, m00nlightjules happy birthday mamon    ,0
519, trying to promote your video to a youtuber over 100k is simply pointless  ,0
520,I feel like I don t have a purpose in life.,1
521,I m going to keep banging on about this  cos it s true. What you focus on  you get more of. Stop telling yourself you re  or . Tell yourself you re happy  strong  confident  powerful. Not only cos you ARE  but cos your brilliant mind listens to what you tell it. pic.twitter.com CIMOnc0ocM,0
522, Past  success or  failure is no  indicator of  future  performance DON T be  afraid to take a  risk.,0
523,Humble yourself in the sight of the LORD. If we have died in Christ  then how can we be offended? A dead person cannot feel anything  right?,0
524, Dansgaming YES   I love making my own coffee drinks at home   super    ,0
525,Stranger Things S2 25secs teaser   excited  ,0
526, soyoprincess  MisfitPhoenix  beastynewall  Gunderthswain  Racist is the fashionable insult   ignore it.,0
527, and the feeling of being unwanted is the most terrible .   Mother Teresa,0
528,Lying at the pool with John   ice cream   drinks  29 degrees and listening to busted    bliss,0
529, Bombardier Joyeux anniversaire   Happy birthday Bombardier Inc.   ,0
530,I feel so fucking alone tonight I just don t even care about living right now.,1
531,Welcome to our new follower  RahmanAccess Have a  wonderful Tuesday ,0
532,If I stay got me feeling some type of way  ,0
533,America .just a nation of two hundred million used car salesmen with all the money we need to buy guns and no qualm,0
534, We just have to hold on a bit longer  then we can sink this monster into the ocean.   foodparty,0
535,No.  Poverty is without any hope of money or things that require money.  pic.twitter.com rldrBbhpv0,0
536,Little things that affect you massively.  ,1
537, LFC Povey I m enjoying this so much  they re hilarious. I ve a headache from laughing . I need to stop now.,0
538,Comforting  inspiring.  faith  Housefires  GoodFather Thank you.  Beautiful  song  itswhoiam  itswhoyouare  youtperfectinallofyourways,0
539,Finally its time  i have a cuppa n its time to watch what i already know will be an epic ep of Game of Thrones  bliss,0
540,Listen  I love my mutuals so much they re such beautiful people inside and out. I m so happy to have you in my life. I love you so much,0
541,Exercise is a powerful tool for dealing with,0
542, MegZ1498 Before 10am town going clean up. Doh fret.,0
543,142  wwww  pic.twitter.com 2hJYbiVJnU,0
544, can feel ever so painful. And stigma prevents honesty about problems. Let s keep the difficult conversations going x  pic.twitter.com DwXfpvI3iX,0
545,That moment when you remember the Blue Bell ice cream in your freezer . After you ve left Texas .,0
546,tbh  I m NOT that Excited to celebrate Christmas because of my disappointments       ,1
547,When the water is boiling add in the spagetti,0
548,For some  this was the face of the  Great Depression     pic.twitter.com duwwvhCKyP,0
549,I gotta get dressed for work now  ,0
550,Closing New Years Eve and opening New Years Day  ,0
551,Every GIRL deserves a GUY who can make her SMILE  D,0
552,my 8 year old cousin stopped sharing her location with me,0
553,As the days draw near to the end  I feel as though I m suffocating and losing a piece of me. It never should ve come to this . ,1
554,I guess I m just not the kind of person you wanna hang out with .  ,1
555,Fear not  lisajnc1951  God is with you  don t be discouraged  for He is your God  He strengthens and helps you at all time. Is 41 10,0
556,too soon for drinks. Ice cream and a movie  read bad reviews but will the lead get another oscar,0
557,Dwight Howard been playing like his girl broke up with him or something ,0
558,End of the Obama Administration.   pic.twitter.com RZGeOg6xH0,0
559, myouimina U r but idk to what extent u can go with teasing me    u love it too much.,0
560,I hate that I can t get everyone in my family a gift but I m on a fixed income  ,0
561,Happy Birthday  RyanRolison24  Have an AWESOME day  We re keeping up with you on the Cape and you re doing great ,0
562,i ll have my own apartment and not have to sneak alcohol into my dorm room or worry about being loud  blessed,0
563,Finished gossip girl. Feeling   & ,0
564,Laying in bed listening to Christmas music .,0
565,When you wake up early to workout and then the fitness room smells awful  so you come back to your room to do core .,0
566,Nicole  we have to go somewhere warm and tropical nMe  okay where? nNicole  Oakland n nWhy does no one in my life ever look at a map  lost,0
567,No surprised so many with  &  struggle so much when the only help you get is take drugs and if they don t work take more,1
568, LogitechUK Been there done that ,0
569,101,0
570,Be weird. Be  happy. Be  grateful. Be  positive. Be open  minded. r love  bliss  success,0
571,Friday night. Trying to relax. Can t. Today was the 2nd time in my 20 years of federal biofuels advocacy where we just flat out lost. No way to sugarcoat it. Leaves me sick to my stomach knowing what farmers are going thru and seeing biofuels plants shut down.,0
572,A little of   yoga for a  happy day    Noeishappy  yogagirl  yogaeverydamnday  namaste  grateful  blessed  ,0
573,Silence might be suffocating and unbearable but you can t deny its comfort when you need it the most.,1
574,Loneliness is quite common in the elderly. Isolation and inactivity may harm a loved one s mental  physical  and emotional health. Visit them and bring them to social events such as family gatherings.      pic.twitter.com lq9et0AsHq,0
575,Glad the way eastenders is doing Lee s storyline   ,0
576,You aren t weathly until you have something  money can t but.  n  goodmorning    bless  guidelife  usa  uk  ksa,0
577,May  Allah keep us safe and your  Providence. May U replace sadness with  happiness and &amp  instill endless  love in your  heart Stay  bless.,0
578,When u have a cute outfit idea  but u got too fat and can t fit in the pants ,0
579, D Bushaiba  nalhussaini  happy birthday 7ayate ,0
580,Premier League starts today it will definitely keep my mind off things.,0
581,First Christmas Eve in almost 20 years that I won t be sleeping with  lizwillis ,0
582, TheSarahFader I don t even log on sometimes. ,0
583,I m sinking so fast  I don t even know where to start to save myself.  ,1
